title,author,blurb,isbn,call_number,cover_filename
Steve Jobs,Walter Isaacson,"Based on more than 40 interviews with Jobs conducted over two years--as well as interviews with more than 100 family members, friends, adversaries, competitors, and colleagues--Isaacson has written a riveting story of the roller-coaster life and searingly intense personality of a creative entrepreneur whose passion for perfection and ferocious drive revolutionized six industries: personal computers, animated movies, music, phones, tablet computing, and digital publishing.",9781451648546,,Steve Jobs_602.jpg
Divining a Digital Future,"Paul Dourish, Genevieve Bell","Ubiquitous computing (or ubicomp) is the label for a ""third wave"" of computing technologies. Following the eras of the mainframe computer and the desktop PC, ubicomp is characterized by small and powerful computing devices that are worn, carried, or embedded in the world around us. Computer scientist Paul Dourish and cultural anthropologist Genevieve Bell explore the vision that has driven the ubiquitous computing research program and the contemporary practices that have emerged--both the motivating mythology and the everyday messiness of lived experience. Derived from book jacket.",9780262015554,,Divining a Digital Future_603.jpg
Technical Memorandums,United States. National Advisory Committee for Aeronautics,Chiefly translations from foreign aeronautical journals.,,,Technical Memorandums_604.jpg
Rebel Code,Glyn Moody,"This book describes in vivid detail the dreamers and businessmen who have turned a private passion into a global phenomenon. It looks at LINUX, the first operating system to be developed outside corporate and state control.",,,Rebel Code_606.jpg
The Fourth Paradigm,Anthony J. G. Hey,Foreword. A transformed scientific method. Earth and environment. Health and wellbeing. Scientific infrastructure. Scholarly communication.,,,The Fourth Paradigm_607.jpg
Digital Media Ethics,Charles Ess,"This is the first textbook on the central ethical issues of digital media, ranging from computers and the Internet to mobile phones. It is also the first book of its kind to consider these issues from a global perspective, introducing ethical theories from multiple cultures. It further utilizes examples from around the world, such as the publication of ""the Mohammed Cartoons""; diverse understandings of what ""privacy"" means in Facebook or MySpace; why pirating CDs and DVDs may be justified in developing countries; and culturally-variable perspectives on sexuality and what counts as ""pornogra...",9780745673707,,Digital Media Ethics_608.jpg
New York Magazine,"Baker, Stephen, 1955 Nov. 15-","New York magazine was born in 1968 after a run as an insert of the New York Herald Tribune and quickly made a place for itself as the trusted resource for readers across the country. With award-winning writing and photography covering everything from politics and food to theater and fashion, the magazine's consistent mission has been to reflect back to its audience the energy and excitement of the city itself, while celebrating New York as both a place and an idea.",,,New York Magazine_609.jpg
"Simple and Usable Web, Mobile, and Interaction Design",Giles Colborne,"In a chaotic world, we all crave simplicity. We don’t want to waste time reconfiguring our smartphones, fumbling over digital printers, or plodding through online forms while deadlines bear down on us. We want technology that works. Yet the harder we try to create simple user experiences, the more we tie ourselves up in knots. We are undermined by demands to cram in more features, or lured into approaches that turn out to be more complex than ever. Simplicity is a discipline that can be learned. This book shows you how–with humor, powerful examples, quotes, and case studies. This new editio...",9780134778259,,Simple and Usable Web Mobile and Interaction Desig_610.jpg
Experimental and Computational Mathematics,Jonathan M. Borwein,"A quiet revolution in mathematical computing and scientific visualization took place in the latter half of the 20th century. These developments have dramatically enhanced modes of mathematical insight and opportunities for ""exploratory"" computational experimentation. This volume collects the experimental and computational contributions of Jonathan and Peter Borwein over the past quarter century.",9781935638056,,Experimental and Computational Mathematics_611.jpg
General Nonfiction Award 1962 - 1993,Heinz-D. Fischer,"The School of Journalism at Columbia University has awarded the Pulitzer Prize since 1917. Nowadays there are prizes in 21 categories from the fields of journalism, literature and music. The Pulitzer Prize Archive presentsthe history of this award from its beginnings to the present: In parts A toE the awarding oftheprize in each category is documented, commented and arranged chronologically. Part F covers the history of the prize biographically and bibliographically. Part G provides the background to thedecisions.",9783110972122,,General Nonfiction Award 1962 - 1993_614.jpg
The Math Instinct,Keith Devlin,"There are two kinds of math: the hard kind and the easy kind. The easy kind, practiced by ants, shrimp, Welsh corgis -- and us -- is innate. What innate calculating skills do we humans have? Leaving aside built-in mathematics, such as the visual system, ordinary people do just fine when faced with mathematical tasks in the course of the day. Yet when they are confronted with the same tasks presented as ""math,"" their accuracy often drops. But if we have innate mathematical ability, why do we have to teach math and why do most of us find it so hard to learn? Are there tricks or strategies tha...",9780786736188,,The Math Instinct_615.jpg
The Times Index,"Marchant, Jo (Joanna)","Indexes the Times, Sunday times and magazine, Times literary supplement, Times educational supplement, Times educational supplement Scotland, and the Times higher education supplement.",,,The Times Index_617.jpg
The Rock From Mars,Kathy Sawyer,"In this riveting book, acclaimed journalist Kathy Sawyer reveals the deepest mysteries of space and some of the most disturbing truths on Earth. The Rock from Mars is the story of how two planets and the spheres of politics and science all collided at the end of the twentieth century. It began sixteen million years ago. An asteroid crashing into Mars sent fragments flying into space and, eons later, one was pulled by the Earth’s gravity onto an icy wilderness near the southern pole. There, in 1984, a geologist named Roberta Score spotted it, launching it on a roundabout path to fame and con...",9781588365279,,The Rock From Mars_618.jpg
The Sun and the Moon,Matthew Goodman,"On August 26, 1835, a fledgling newspaper called the Sun brought to New York the first accounts of remarkable lunar discoveries. A series of six articles reported the existence of life on the moon -- including unicorns, beavers that walked on their hind legs, and four-foot-tall flying man-bats. In a matter of weeks it was the most broadly circulated newspaper story of the era, and the Sun, a working-class upstart, became the most widely read paper in the world. An exhilarating narrative history of a divided city on the cusp of greatness, and tale of a crew of writers, editors, and charlatan...",9780786726967,,The Sun and the Moon_619.jpg
The Martians of Science : Five Physicists Who Changed the Twentieth Century,Istvan Hargittai Professor of Chemistry and Head of the George A Olah Ph.D. School of Chemistry and Engineering Budapest University of Technology and Economics,"If science has the equivalent of a Bloomsbury group, it is the five men born at the turn of the twentieth century in Budapest: Theodore von Karman, Leo Szilard, Eugene Wigner, John von Neumann, and Edward Teller. From Hungary to Germany to the United States, they remained friends and continued to work together and influence each other throughout their lives. As a result, their work was integral to some of the most important scientific and political developments of the twentieth century. They were an extraordinary group of talents: Wigner won a Nobel Prize in theoretical physics; Szilard was...",9780198039679,,The Martians of Science  Five Physicists Who Chang_620.jpg
Einstein's Unification,Jeroen van Dongen,"Why did Einstein tirelessly study unified field theory for more than thirty years? In this book, the author argues that Einstein believed he could find a unified theory of all of nature's forces by repeating the methods he thought he had used when he formulated general relativity. The book discusses Einstein's route to the general theory of relativity, focusing on the philosophical lessons that he learnt. It then addresses his quest for a unified theory for electromagnetism and gravity, discussing in detail his efforts with Kaluza-Klein and, surprisingly, the theory of spinors. From these p...",9781139643924,,Einsteins Unification_621.jpg
Einstein,Jürgen Neffe,"Albert Einstein is an icon of the twentieth century. Born in Ulm, Germany, in 1879, he is most famous for his theory of relativity. He also made enormous contributions to quantum mechanics and cosmology, and for his work he was awarded the Nobel Prize in 1921. A self-pronounced pacifist, humanist, and, late in his life, democratic socialist, Einstein was also deeply concerned with the social impact of his discoveries. Much of Einstein's life is shrouded in legend. From popular images and advertisements to various works of theater and fiction, he has come to signify so many things. In Einste...",9781429997386,,Einstein_622.jpg
In Albert's Shadow,Mileva Einstein-Marić,"Through previously unpublished letters written to her best friend over 30 years, this collection offers an intimate portrait of Einstein's first wife and a troubled marriage that ended in divorce and depression.",080187856X,,In Alberts Shadow_623.jpg
Stephen Hawking: An Unfettered Mind,Kitty Ferguson,"Kitty Ferguson, the award-winning and international bestselling author of Stephen Hawking’s biography, presents an even deeper portrait of the legendary physicist’s life and scientific theories. This updated edition of Stephen Hawking: An Unfettered Mind looks at one of the most remarkable figures of our age: the bestselling author of A Brief History of Time, celebrated theoretical physicist, and an inspiration to millions around the world. Ferguson offers fresh insights into the way Hawking thinks and works, his ever-more-imaginative adventures in science at the “flaming ramparts of the wo...",9781137000224,,Stephen Hawking An Unfettered Mind_624.jpg
Science Abstracts,"Kapany, N. S., author.",No description available.,,,Science Abstracts_625.jpg
Judging Edward Teller,"Istvan Hargittai, Professor and Head of the Structural Chemistry Research Group of the Hungarian Academy of Sciences Istvan Hargittai","A personal acquaintance of Teller's presents the definitive, balanced portrait of the scientist against the backdrop of a turbulent period of history, and reveals the contradictory nature of this complex man in all his strengths, flaws, and brilliance.",9781616142698,,Judging Edward Teller_626.jpg
Judging Edward Teller,"Istvan Hargittai, Professor and Head of the Structural Chemistry Research Group of the Hungarian Academy of Sciences Istvan Hargittai","A personal acquaintance of Teller's presents the definitive, balanced portrait of the scientist against the backdrop of a turbulent period of history, and reveals the contradictory nature of this complex man in all his strengths, flaws, and brilliance.",9781616142698,,Judging Edward Teller_627.jpg
Molecules,Theodore Gray,"In Molecules, bestselling author Theodore Gray demonstrates, through stunning, never-before-seen images and illustrations, how the elements of the periodic table combine to form the molecules that make up our world. Everything physical is made up of the elements and the infinite variety of molecules they form when they combine with each other. In Molecules, Theodore Gray takes the next step in the story that began with the periodic table in his best-selling book, The Elements: A Visual Exploration of Every Known Atom in the Universe. Here, he explores, through fascinating stories and tradem...",9780316392839,,Molecules_628.jpg
Physics for Future Presidents,Richard Muller,"Learn the science behind the headlines in this work that outlines the tools of terrorists, the dangers of nuclear power, and the reality of global warming.",,,Physics for Future Presidents_629.jpg
Trinity: A Graphic History of the First Atomic Bomb,Jonathan Fetter-Vorm,"Trinity, the debut graphic book by Jonathan Fetter-Vorm, depicts the dramatic history of the race to build and the decision to drop the first atomic bomb in World War Two—with a focus on the brilliant, enigmatic scientist, J. Robert Oppenheimer. ""Succeeds as both a graphic primer and a philosophical meditation."" —Kirkus Reviews (starred review) This sweeping historical narrative traces the spark of invention from the laboratories of nineteenth-century Europe to the massive industrial and scientific efforts of the Manhattan Project, and even transports the reader into a nuclear reaction—into...",9780374615246,,Trinity A Graphic History of the First Atomic Bomb_630.jpg
Nuclear Forces,Silvan S. Schweber,"“A highly readable account . . . tracing the future Nobel laureate through his formative years and up to the eve of World War II” (The Wall Street Journal). On the fiftieth anniversary of Hiroshima, Nobel-winning physicist Hans Bethe called on his fellow scientists to stop working on weapons of mass destruction. What drove Bethe, the head of Theoretical Physics at Los Alamos during the Manhattan Project, to renounce the weaponry he had once worked so tirelessly to create? That is one of the questions answered by Nuclear Forces, a riveting biography of Bethe’s early life and development as b...",9780674070127,,Nuclear Forces_631.jpg
A Brilliant Darkness,Joao Magueijo,"On the night of March 26, 1938, nuclear physicist Ettore Majorana boarded a ship, cash and passport in hand. He was never seen again. In A Brilliant Darkness, theoretical physicist Joao Magueijo tells the story of Majorana and his research group, ""the Via Panisperna Boys,"" who discovered atomic fission in 1934. As Majorana, the most brilliant of the group, began to realize the implications of what they had found, he became increasingly unstable. Did he commit suicide that night in Palermo? Was he kidnapped? Did he stage his own death? A Brilliant Darkness chronicles Majorana's invaluable co...",9780465020089,,A Brilliant Darkness_632.jpg
Climate Change Adaptation in New York City,New York City Panel on Climate Change,"This volume is the New York City Panel on Climate Change (NPCC) 2010 Report. It contains the executive summary, chapters of the report, including the conclusions and recommendations, and three NPCC workbooks as appendices. The NPCC has prepared a set of climate change projections for the New York City region and has examined how climate change has the potential to both positively and negatively affect the critical infrastructure of New York City. It has suggested approaches to create an effective adaptation program for critical infrastructure, including ways to assess risks, prioritize stra...",,,Climate Change Adaptation in New York City_633.jpg
"A History of the Life Sciences, Revised and Expanded",Lois N. Magner,"A clear and concise survey of the major themes and theories embedded in the history of life science, this book covers the development and significance of scientific methodologies, the relationship between science and society, and the diverse ideologies and current paradigms affecting the evolution and progression of biological studies. The author d",0203911008,,A History of the Life Sciences Revised and Expande_636.jpg
On a Farther Shore,William Souder,"A New York Times Notable Book of 2012 Rachel Carson loved the ocean and wrote three books about its mysteries. But it was with her fourth book, Silent Spring, that this unassuming biologist transformed our relationship with the natural world. Silent Spring was a chilling indictment of DDT and other pesticides that until then had been hailed as safe and wondrously effective. It was Carson who sifted through all the evidence, documenting with alarming clarity the collateral damage to fish, birds, and other wildlife; revealing the effects of these new chemicals to be lasting, widespread, and l...",9780307462213,,On a Farther Shore_637.jpg
The Works of Charles Darwin,Charles Darwin,No description available.,0404084001,,
Packing for Mars,Mary Roach,"""America's funniest science writer"" ( Washington Post) explores the irresistibly strange universe of life without gravity in this New York Times bestseller. The best-selling author of Stiff and Bonk explores the irresistibly strange universe of space travel and life without gravity. From the Space Shuttle training toilet to a crash test of NASA's new space capsule, Mary Roach takes us on the surreally entertaining trip into the science of life in space and space on Earth.",9780393079104,,Packing for Mars_639.jpg
Darwin's Origin of Species,Janet Browne,"In her illuminating history of ""On the Origin of Species,"" Browne, Charles Darwins foremost biographer, shows why it can fairly claim to be the greatest science book ever published. What emerges is a vivid and accessible introduction to the book that permanently altered our understanding of what it is to be human.",0802143466,,Darwins Origin of Species_640.jpg
A Passion for DNA,James D. Watson,"In 1953, two young and unknown scientists, James Watson and Francis Crick, sparked a worldwide revolution with their discovery of the molecular composition of DNA. In this collection of outspoken and topical essays, speeches and reports, Watson offers his unique insight into the advance of molecular genetics, the prospect of curing cancer over the next decade, how human genetic knowledge is likely to be used, particularly in relation to cloning and genetically modified food, as well as shedding light on his early life and career.",0198604289,,A Passion for DNA_641.jpg
Drawing the Map of Life,Viktor K. McElheny,"Drawing the Map of Life is the dramatic story of the Human Genome Project from its origins, through the race to order the 3 billion subunits of DNA, to the surprises emerging as scientists seek to exploit the molecule of heredity. It's the first account to deal in depth with the intellectual roots of the project, the motivations that drove it, and the hype that often masked genuine triumphs. Distinguished science journalist Victor McElheny offers vivid, insightful profiles of key people, such as David Botstein, Eric Lander, Francis Collins, James Watson, Michael Hunkapiller, and Craig Vente...",9780465032600,,Drawing the Map of Life_642.jpg
Undeniable,Bill Nye,"From the host of ""Bill Nye the Science Guy"" comes an impassioned explanation of how the science of our origins is fundamental to our understanding of the nature of science",9781250007131,,Undeniable_643.jpg
The British National Bibliography,Arthur James Wells,No description available.,,,The British National Bibliography_644.jpg
Aging Is Not Optional - How We Handle It Is:,Ronald Higdon,"In a youth-oriented culture where old age is almost regarded as the unpardonable sin, there is not much space in our daily lives for the discussion of the one reality that is inescapable - aging. This book brings the good news that discussions about aging can bring new purpose, meaning, and hope to all of life - regardless of your present age. It is a book filled with perspectives and suggestions that can make the advancing years truly golden in the sense of satisfaction, meaning, and fulfillment. Come along with the author (who is 80+ years old) on the journey through this book and see if ...",9781631997068,,Aging Is Not Optional - How We Handle It Is_645.jpg
The Kangaroo,"Michael Archer, Tim Fridtjof Flannery, Gordon Clifford Grigg",No description available.,,,The Kangaroo_646.jpg
Human,Michael S. Gazzaniga,"""[A] shimmering new book . . . This is the place to look to learn about our best scientific understanding of what it means to be human."" —Steven Pinker, New York Times bestselling author of The Language Instinct and How the Mind Works ""A cognitive neuroscientist at the University of California, Santa Barbara (and one of the inventors of the field), takes us on a lively tour through the latest research on brain evolution."" — The New York Times Book Review What happened along the evolutionary trail that made humans so unique? In his accessible style, Michael Gazzaniga pinpoints the change tha...",9780061829710,,Human_647.jpg
The War of the Soups and the Sparks,Elliot S. Valenstein,The question of how nerves communicate with one another was the subject of a heated & protracted dispute between pharmacologists & neurophysiologists. This book recalls the debate & how the theory of chemical transmission was eventually confirmed by the discovery of neurotransmitters.,9780231135887,,The War of the Soups and the Sparks_649.jpg
You Are Here,Colin Ellard,"An eye-opening exploration of the intriguing and often counter-intuitive science of human navigation and experience of place. In the age of GPS and iPhones, human beings it would seem have mastered the art of direction, but does the need for these devices signal something else—that as a species we are actually hopelessly lost. In fact we've filled our world with signs and arrows. We still get lost in the mall, or a maze of cubicles. What does this say about us? Drawing on his exhaustive research, Professor Collin Ellard illuminates how humans are disconnected from our world and what this me...",9780385530422,,You Are Here_652.jpg
Long for This World,Jonathan Weiner,"In this fast-paced, sure-to-astonish scientific adventure, a Pulitzer Prize-winning popular science writer asks, Has the long-sought secret of eternal youth at last been found?",9780060765361,,Long for This World_654.jpg
Embodied Liturgy,Frank C. Senn,"Embodied Liturgy marks a return to the body in thinking about Christian liturgy and sacramental practice. Rooted in phenomenology and incarnational theology, the book gives primary focus to the body as it considers the prayer offices and the liturgical calendar, sacrifices and sacraments, initiation and vestments, ritual theory and play, word and meal, fasting and feasting, penance and celebration, rites of passage, cultural perspectives, and the role of art, music, dance, and drama in worship. The author invites readers to return to the experience of their own body through guided yogic exe...",9781506408460,,Embodied Liturgy_655.jpg
Happy Accidents,Morton A. Meyers,"Happy Accidents is a fascinating, entertaining, and highly accessible look at the surprising role serendipity has played in some of the most important medical discoveries in the twentieth century. What do penicillin, chemotherapy drugs, X-rays, Valium, the Pap smear, and Viagra have in common? They were each discovered accidentally, stumbled upon in the search for something else. In the 1990s, Pfizer had high hopes for a new drug that would boost blood flow to the heart. As they conducted trials on angina sufferers, researchers noted a startling effect: while the drug did not affect blood f...",9781628721539,,Happy Accidents_656.jpg
Black Man in a White Coat,Damon Tweedy,"When Tweedy began medical school, he envisioned a bright future where his segregated, working-class background would become irrelevant. Instead he found himself grappling with race, bias, and the unique health problems of black Americans, and met a professor who bluntly questioned whether he belonged in medical school. In examining the complex ways in which both black doctors and patients must navigate the difficult and often contradictory terrain of race and medicine, he illustrates the complex social, cultural, and economic factors at the root of most health problems in the black community.",9781250044631,,Black Man in a White Coat_657.jpg
Black Man in a White Coat,Damon Tweedy,"When Tweedy began medical school, he envisioned a bright future where his segregated, working-class background would become irrelevant. Instead he found himself grappling with race, bias, and the unique health problems of black Americans, and met a professor who bluntly questioned whether he belonged in medical school. In examining the complex ways in which both black doctors and patients must navigate the difficult and often contradictory terrain of race and medicine, he illustrates the complex social, cultural, and economic factors at the root of most health problems in the black community.",9781250044631,,Black Man in a White Coat_658.jpg
Science Has No Sex,Arleen Tuchman,"German-born Marie Zakrzewska (1829-1902) was one of the most prominent female physicians of nineteenth-century America. Best known for creating a modern hospital and medical education program for women, Zakrzewska battled against the gendering of science",9780807830208,,Science Has No Sex_659.jpg
Chimp & the River,David Quammen,"In this ""frightening and fascinating masterpiece"" (Walter Isaacson), David Quammen explores the true origins of HIV/AIDS. The real story of AIDS—how it originated with a virus in a chimpanzee, jumped to one human, and then infected more than 60 million people—is very different from what most of us think we know. Recent research has revealed dark surprises and yielded a radically new scenario of how AIDS began and spread. Excerpted and adapted from the book Spillover, with a new introduction by the author, Quammen's hair-raising investigation tracks the virus from chimp populations in the ju...",9780393350852,,Chimp  the River_660.jpg
A Guide to Consent,"Robert D. Dinerstein, Stanley S. Herr, Joan L. O'Sullivan","A guide that explores legal implications of consent in critical life events such as adult guardianship, sexual activity, and home ownership.",,,A Guide to Consent_662.jpg
Polio,David M. Oshinsky,"Here David Oshinsky tells the gripping story of the polio terror and of the intense effort to find a cure, from the March of Dimes to the discovery of the Salk and Sabin vaccines--and beyond. Drawing on newly available papers of Jonas Salk, Albert Sabin and other key players, Oshinsky paints a suspenseful portrait of the race for the cure, weaving a dramatic tale centered on the furious rivalry between Salk and Sabin. He also tells the story of Isabel Morgan, perhaps the most talented of all polio researchers, who might have beaten Salk to the prize if she had not retired to raise a family....",9780199726592,,Polio_664.jpg
Happy Accidents,Morton A. Meyers,Afascinating and highly accessible look at the surprising role serendipity has played in some of the most important medical discoveries in the twentieth...,9781611451627,,Happy Accidents_665.jpg
Happy Accidents,Morton A. Meyers,Afascinating and highly accessible look at the surprising role serendipity has played in some of the most important medical discoveries in the twentieth...,9781611451627,,Happy Accidents_666.jpg
The Emperor of All Maladies,Siddhartha Mukherjee,"""This edition includes a new interview with the author""--P. [4] of cover.",9781439170915,,The Emperor of All Maladies_667.jpg
Brain On Fire: My Month of Madness,Susannah Cahalan,"'My first serious blackout marked the line between sanity and insanity. Though I would have moments of lucidity over the coming days and weeks, I would never again be the same person ...' Susannah Cahalan was a happy, clever, healthy twenty-four-year old. Then one day she woke up in hospital, with no memory of what had happened or how she had got there. Within weeks, she would be transformed into someone unrecognizable, descending into a state of acute psychosis, undergoing rages and convulsions, hallucinating that her father had murdered his wife; that she could control time with her mind....",9780141975351,,Brain On Fire My Month of Madness_668.jpg
The Mind's Eye,Oliver W. Sacks,"Includes stories of people who are able to navigate the world and communicate with others despite losing what many of us consider indispensable senses and faculties: the power of speech, the capacity to recognize faces, the sense of three-dimensional space, the ability to read, and the sense of sight. This book is a testament to the complexity of vision and the brain and to the power of creativity and adaptation, and it provides a whole new perspective on the power of language and communication, as we try to imagine what it is to perceive through another person's eyes, or another person's m...",033050889X,,The Minds Eye_669.jpg
An Unquiet Mind,Kay Redfield Jamison,"NATIONAL BESTSELLER • A deeply powerful memoir about bipolar illness that has both transformed and saved lives—with a new preface by the author. Dr. Jamison is one of the foremost authorities on manic-depressive (bipolar) illness; she has also experienced it firsthand. For even while she was pursuing her career in academic medicine, Jamison found herself succumbing to the same exhilarating highs and catastrophic depressions that afflicted many of her patients, as her disorder launched her into ruinous spending sprees, episodes of violence, and an attempted suicide. Here Jamison examines bip...",9780307498489,,An Unquiet Mind_670.jpg
Rebuilt,Michael Chorost,"Chorost chronicles his journey from deafness to hearing, from human to cyborg, and how it transformed him. Written with self-deprecating, dry wit this volume explores hearing, sound, and software that can now mend the senses.",0618717609,,Rebuilt_671.jpg
Bringing Nature Home,Douglas W. Tallamy,"“With the twinned calamities of climate change and mass extinction weighing heavier and heavier on my nature-besotted soul, here were concrete, affordable actions that I could take, that anyone could take, to help our wild neighbors thrive in the built human environment. And it all starts with nothing more than a seed. Bringing Nature Home is a miracle: a book that summons butterflies."" —Margaret Renkl, The Washington Post As development and habitat destruction accelerate, there are increasing pressures on wildlife populations. In his groundbreaking book Bringing Nature Home, Douglas W. Tal...",9781604691467,,Bringing Nature Home_672.jpg
Technical Writing,Phillip A. Laplante,"Technical Writing: A Practical Guide for Engineers, Scientists, and Nontechnical Professionals, Second Edition enables readers to write, edit, and publish materials of a technical nature, including books, articles, reports, and electronic media. Written by a renowned engineer and widely published technical author, this guide complements traditional writer’s reference manuals on technical writing through presentation of first-hand examples that help readers understand practical considerations in writing and producing technical content. These examples illustrate how a publication originates a...",9780429884504,,Technical Writing_673.jpg
What Technology Wants,Kevin Kelly,"From the author of the New York Times bestseller The Inevitable— a sweeping vision of technology as a living force that can expand our individual potential In this provocative book, one of today's most respected thinkers turns the conversation about technology on its head by viewing technology as a natural system, an extension of biological evolution. By mapping the behavior of life, we paradoxically get a glimpse at where technology is headed-or ""what it wants."" Kevin Kelly offers a dozen trajectories in the coming decades for this near-living system. And as we align ourselves with technol...",9780143120179,,What Technology Wants_674.jpg
Subject Guide to Books in Print,"Thorsen, Richard S., author.",No description available.,,,Subject Guide to Books in Print_675.jpg
Subject Guide to Books in Print,"Thorsen, Richard S., author.",No description available.,,,Subject Guide to Books in Print_676.jpg
I Live in the Future & Here's How It Works,Nick Bilton,"Are we driving off a digital cliff and heading for disaster, unable to focus, maintain concentration, or form the human bonds that make life worth living? Are media and business doomed and about to be replaced by amateur hour? The world, as Nick Bilton—with tongue-in-cheek—shows, has been going to hell for a long, long time, and what we are experiencing is the twenty-first-century version of the fear that always takes hold as new technology replaces the old. In fact, as Bilton shows, the digital era we are part of is, in all its creative and disruptive forms, the foundation for exciting and...",9780307591128,,I Live in the Future  Heres How It Works_677.jpg
Flash of Genius,John Seabrook,"Essays explore inspiration and entrepreneurship in everyday Americans, including the story of Bob Kearns, who invented the intermittent windshield wiper.",0312535724,,Flash of Genius_678.jpg
Innovating Women,"Vivek Wadhwa, Farai Chideya","From one of Time Magazine's 40 Most Influential Minds in Technology: women across the globe share stories of closing the tech industry’s gender gap. Women in technology are on the rise in both power and numbers, but we need to accelerate that momentum if we want to ""lean in"" and close the gender gap. The future of technology depends on women and men working together at their full potential. For that to happen, it is vital that women feel welcomed, rewarded, and respected in tech sectors. Hailed by Foreign Policy Magazine as a “Top 100 Global Thinker,” professor, researcher, and entrepreneur...",9781626813830,,Innovating Women_679.jpg
To Forgive Design,Henry Petroski,"When planes crash, bridges collapse, and automobile gas tanks explode, we are quick to blame poor design. But Henry Petroski says we must look beyond design for causes and corrections. Known for his masterly explanations of engineering successes and failures, Petroski here takes his analysis a step further, to consider the larger context in which accidents occur. In To Forgive Design he surveys some of the most infamous failures of our time, from the 2007 Minneapolis bridge collapse and the toppling of a massive Shanghai apartment building in 2009 to Boston's prolonged Big Dig and the 2010 ...",9780674065437,,To Forgive Design_681.jpg
A Genius Planet,"Ludger Hovestadt, Vera Bühlmann, Sebastian Michael","Imagine a world where the power is always on, where there is not just enough energy, but an abundance of it. Such a world is no Utopia, it is a possible reality. Using indefinitely available sources of energy – especially photovoltaic solar, in combination with others – and networking this energy, much in the way that we have networked information, we can get beyond our current energy ‘crisis’ and resolve it. The world we then find ourselves in is not a world without problems – we will face new challenges on the way – but in terms of energy it is a world of plenty. Rooted in sound theory an...",9783035614213,,A Genius Planet_682.jpg
On the Frontlines of the Welfare State,Barry Goetz,"Although public safety agencies protect our well-being, they also shape social problems and community inequities. Public safety protections promote what T.H. Marshall called ""social rights"" of equitable citizenship. Frontlines of Welfare State shows how public safety agencies function as welfare state agencies, responsible for a range of essential public functions including emergency service, criminal investigation, regulatory oversight and social service outreach. Furthermore, this volume shows how public safety agencies are being asked to absorb more social welfare functions amidst cut-ba...",9781317299622,,On the Frontlines of the Welfare State_683.jpg
The Boy Who Harnessed the Wind,"William Kamkwamba, Bryan Mealer","New York Times Bestseller • Now a Netflix film starring and directed by Chiwetel Ejiofor! A gripping memoir of survival and perseverance about the heroic young inventor who brought electricity to his Malawian village. When a terrible drought struck William Kamkwamba's tiny village in Malawi, his family lost all of the season's crops, leaving them with nothing to eat and nothing to sell. William began to explore science books in his village library, looking for a solution. There, he came up with the idea that would change his family's life forever: he could build a windmill. Made out of scra...",9781101637425,,The Boy Who Harnessed the Wind_684.jpg
The Boy Who Harnessed the Wind,"William Kamkwamba, Bryan Mealer","New York Times Bestseller • Now a Netflix film starring and directed by Chiwetel Ejiofor! A gripping memoir of survival and perseverance about the heroic young inventor who brought electricity to his Malawian village. When a terrible drought struck William Kamkwamba's tiny village in Malawi, his family lost all of the season's crops, leaving them with nothing to eat and nothing to sell. William began to explore science books in his village library, looking for a solution. There, he came up with the idea that would change his family's life forever: he could build a windmill. Made out of scra...",9781101637425,,The Boy Who Harnessed the Wind_685.jpg
The Boy Who Harnessed the Wind,"William Kamkwamba, Bryan Mealer","New York Times Bestseller • Now a Netflix film starring and directed by Chiwetel Ejiofor! A gripping memoir of survival and perseverance about the heroic young inventor who brought electricity to his Malawian village. When a terrible drought struck William Kamkwamba's tiny village in Malawi, his family lost all of the season's crops, leaving them with nothing to eat and nothing to sell. William began to explore science books in his village library, looking for a solution. There, he came up with the idea that would change his family's life forever: he could build a windmill. Made out of scra...",9781101637425,,The Boy Who Harnessed the Wind_686.jpg
The Boy Who Harnessed the Wind,"William Kamkwamba, Bryan Mealer","New York Times Bestseller • Now a Netflix film starring and directed by Chiwetel Ejiofor! A gripping memoir of survival and perseverance about the heroic young inventor who brought electricity to his Malawian village. When a terrible drought struck William Kamkwamba's tiny village in Malawi, his family lost all of the season's crops, leaving them with nothing to eat and nothing to sell. William began to explore science books in his village library, looking for a solution. There, he came up with the idea that would change his family's life forever: he could build a windmill. Made out of scra...",9781101637425,,The Boy Who Harnessed the Wind_687.jpg
Energy Efficiency Guide for Existing Commercial Buildings,Dennis R. Landsberg,"""This guide explains why building owners and managers should be concerned about energy efficiency. The second in a series, the goal of this resource is to help the audience evaluate current building operations and also provides technical guidance on how to achieve energy efficiency in these buildings""--Provided by publisher.",1936504170,,Energy Efficiency Guide for Existing Commercial Bu_688.jpg
Before the Lights Go Out,Maggie Koerth-Baker,"What you need to know now about America's energy future ""Hi, I'm the United States and I'm an oil-oholic."" We have an energy problem. And everybody knows it, even if we can't all agree on what, specifically, the problem is. Rising costs, changing climate, peaking oil, foreign oil, public safety?if the fears are this complicated, then the solutions are bound to be even more confusing. Maggie Koerth-Baker?science editor at the award-winning blog BoingBoing.net?finally makes some sense out of the madness. Over the next 20 years, we'll be forced to cut 20 quadrillion BTU worth of fossil fuels f...",9781118175590,,Before the Lights Go Out_692.jpg
